chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9027,0.902698780107867,0.9012829125964847,0.901072942183027,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9462,0.9472893523000587,0.9451598239951808,0.945586451450484,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.7578,0.7948525234525439,0.7491302160323849,0.7315982636888385,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.101,0.010100000000000001,0.1,0.01834695731153497,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9072,0.9068268904493436,0.9058005476414153,0.9058229654429868,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9429,0.9430395060031115,0.9423740433471428,0.9424270696173469,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.6886,0.7603569874678955,0.6797661521928864,0.6618620323601868,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.5288,0.4555358892328645,0.5157760143763139,0.40960431114406015,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.8954,0.8969127059171832,0.8934515217069687,0.893709766433955,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9474,0.948795642582321,0.9462990840558776,0.9467981940538597,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.7393,0.7799756621825523,0.7313231418970906,0.7150591390927948,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2109,0.042627577559044554,0.1948112754760966,0.0698583184603617,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9069,0.9059042237981544,0.9055647537943263,0.9054876920687531,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9518,0.9514211297521584,0.9514384452908283,0.9513236613793568,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.7169,0.7644643832538403,0.7084505774276476,0.687449101127796,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.6946,0.708002456005793,0.6887499015143729,0.6832203207899739,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.905,0.9043254761060115,0.9039972816913291,0.9037505556889608,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9479,0.9490592680148812,0.9469462682557879,0.9472558871550338,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.7501,0.7885302900065796,0.7447843394185659,0.735509382107762,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.1886,0.03832106603194524,0.17839248434237995,0.06278533694509773,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9064,0.9059437271766881,0.904904266896384,0.904924041351768,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9371,0.9383099012729554,0.9363390183519218,0.936437541917092,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.7336,0.768892903930474,0.7276021939284008,0.7212408267684518,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2597,0.127670005582904,0.2634000910980163,0.1448797477197999,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9031,0.9024112722588654,0.9013295550050767,0.9013624456173902,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9492,0.949008756481358,0.9487046768827769,0.9486048014538561,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.7342,0.7751003979671567,0.7257684287875564,0.7072266319279954,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.1135,0.01135,0.1,0.0203861697350696,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9034,0.9022971412071719,0.9019727455551845,0.901500656200638,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
