chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2482,0.2558194233375866,0.25479429046316154,0.2149098520281302,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.35,0.3448766108797659,0.3512624922985212,0.3431126501884969,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3534,0.34839621377499574,0.35475779526958695,0.34452042158588064,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2792,0.2706936205552183,0.28416589668372844,0.2575821115953748,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.245,0.2601573096067152,0.24768163498582316,0.2331988238957452,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3488,0.34918913049080524,0.3510927488522142,0.3417513660810044,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3182,0.31431045058590235,0.32043591630732626,0.31016434276085975,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2728,0.2695388743474317,0.2772637456704474,0.2541975236280837,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.233,0.2382435534156908,0.23921922256352293,0.202626352323276,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.34,0.3364502532217361,0.3425210924839744,0.33336222277509975,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3332,0.3328938379361407,0.3364875203860497,0.3171456999780729,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2726,0.26936786098844495,0.27771463346206543,0.24858928857726323,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2462,0.23799316102891743,0.24992276493542973,0.21897276320576425,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3404,0.34108979947293616,0.34301522706889975,0.32911295770301224,"{'activations': ['tanh', 'tanh'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
